release_date,spawning_year,season_day,offset_days,n_particles,n_M1,frac_M1,n_missing,n_verify_mismatch,verify_max_diff,verify_mean_diff
1993-11-15,1994,0,0,545807,230568,0.4224350365605425,0,1.0,0.19781732559204102,2.44737226790774e-06
1993-11-15,1994,0,23,545807,297946,0.5458816028376331,0,,,
1993-11-15,1994,0,24,545807,295101,0.5406691376255709,0,,,
1993-11-15,1994,0,25,545807,288711,0.5289617025798496,0,,,
1993-11-15,1994,0,26,545807,285449,0.5229852310432076,0,,,
1993-11-16,1994,1,0,545807,229052,0.4196574979800552,0,0.0,0.07622462511062622,8.482379499262751e-07
1993-11-16,1994,1,23,545807,297470,0.5450094996949472,0,,,
1993-11-16,1994,1,24,545807,297947,0.5458834349870925,0,,,
1993-11-16,1994,1,25,545807,295104,0.5406746340739492,0,,,
1993-11-16,1994,1,26,545807,288712,0.5289635347293091,0,,,
1993-11-17,1994,2,0,545807,224802,0.41187086277750196,0,1.0,0.12815925478935242,1.2750903060993147e-06
1993-11-17,1994,2,23,545807,297763,0.5455463194865584,0,,,
1993-11-17,1994,2,24,545807,297470,0.5450094996949472,0,,,
1993-11-17,1994,2,25,545807,297947,0.5458834349870925,0,,,
1993-11-17,1994,2,26,545807,295099,0.540665473326652,0,,,
1993-11-18,1994,3,0,545807,218392,0.40012678474259217,0,3.0,0.18739965185523033,1.0027404190996913e-06
1993-11-18,1994,3,23,545807,296891,0.5439486851579405,0,,,
1993-11-18,1994,3,24,545807,297761,0.5455426551876396,0,,,
1993-11-18,1994,3,25,545807,297469,0.5450076675454877,0,,,
1993-11-18,1994,3,26,545807,297946,0.5458816028376331,0,,,
1993-11-19,1994,4,0,545807,214524,0.393040030633539,0,0.0,0.21010613441467285,1.4833286411707981e-06
1993-11-19,1994,4,23,545807,298549,0.546986388961666,0,,,
1993-11-19,1994,4,24,545807,296891,0.5439486851579405,0,,,
1993-11-19,1994,4,25,545807,297762,0.545544487337099,0,,,
1993-11-19,1994,4,26,545807,297468,0.5450058353960283,0,,,
1993-11-20,1994,5,0,545807,209748,0.3842896848153285,0,0.0,0.2586666941642761,1.3541650521098834e-06
1993-11-20,1994,5,23,545807,291624,0.5342987539551527,0,,,
1993-11-20,1994,5,24,545807,298548,0.5469845568122065,0,,,
1993-11-20,1994,5,25,545807,296894,0.5439541816063187,0,,,
1993-11-20,1994,5,26,545807,297764,0.5455481516360179,0,,,
1993-11-21,1994,6,0,545807,208615,0.3822138594778008,0,3.0,0.26996391266584396,2.2024211069673485e-06
1993-11-21,1994,6,23,545807,289232,0.5299162524482097,0,,,
1993-11-21,1994,6,24,545807,291626,0.5343024182540715,0,,,
1993-11-21,1994,6,25,545807,298546,0.5469808925132876,0,,,
1993-11-21,1994,6,26,545807,296893,0.5439523494568593,0,,,
1993-11-22,1994,7,0,545807,207896,0.3808965440164747,0,1.0,0.13458045572042465,1.339263762728584e-06
1993-11-22,1994,7,23,545807,284638,0.5214993578316145,0,,,
1993-11-22,1994,7,24,545807,289232,0.5299162524482097,0,,,
1993-11-22,1994,7,25,545807,291624,0.5342987539551527,0,,,
1993-11-22,1994,7,26,545807,298550,0.5469882211111253,0,,,
1993-11-23,1994,8,0,545807,209522,0.3838756190374986,0,2.0,0.094992995262146,9.109107428004471e-07
1993-11-23,1994,8,23,545807,287517,0.526774116125297,0,,,
1993-11-23,1994,8,24,545807,284634,0.5214920292337768,0,,,
1993-11-23,1994,8,25,545807,289232,0.5299162524482097,0,,,
1993-11-23,1994,8,26,545807,291624,0.5342987539551527,0,,,
1993-11-24,1994,9,0,545807,216874,0.3973455818631861,0,1.0,0.3593507260084152,2.8291080775787206e-06
1993-11-24,1994,9,23,545807,290095,0.5314973974316929,0,,,
1993-11-24,1994,9,24,545807,287519,0.5267777804242159,0,,,
1993-11-24,1994,9,25,545807,284635,0.5214938613832362,0,,,
1993-11-24,1994,9,26,545807,289232,0.5299162524482097,0,,,
1993-11-25,1994,10,0,545807,213780,0.3916769114357273,0,2.0,0.21958550810813904,1.7829187619100506e-06
1993-11-25,1994,10,23,545807,290463,0.532171628432761,0,,,
1993-11-25,1994,10,24,545807,290095,0.5314973974316929,0,,,
1993-11-25,1994,10,25,545807,287516,0.5267722839758376,0,,,
1993-11-25,1994,10,26,545807,284636,0.5214956935326956,0,,,
1993-11-26,1994,11,0,545807,204971,0.37553750684765863,0,0.0,0.24507981538772583,1.6440914570153615e-06
1993-11-26,1994,11,23,545807,289761,0.5308854595122452,0,,,
1993-11-26,1994,11,24,545807,290462,0.5321697962833016,0,,,
1993-11-26,1994,11,25,545807,290094,0.5314955652822335,0,,,
1993-11-26,1994,11,26,545807,287517,0.526774116125297,0,,,
1993-11-27,1994,12,0,545807,196551,0.360110808399306,0,3.0,0.13900908827781677,1.2056418586772509e-06
1993-11-27,1994,12,23,545807,288820,0.5291614068709269,0,,,
1993-11-27,1994,12,24,545807,289764,0.5308909559606234,0,,,
1993-11-27,1994,12,25,545807,290462,0.5321697962833016,0,,,
1993-11-27,1994,12,26,545807,290094,0.5314955652822335,0,,,
1993-11-28,1994,13,0,545807,196912,0.3607722143541581,0,0.0,0.4309101998806,2.5460933485310804e-06
1993-11-28,1994,13,23,545807,291050,0.5332471001654431,0,,,
1993-11-28,1994,13,24,545807,288820,0.5291614068709269,0,,,
1993-11-28,1994,13,25,545807,289762,0.5308872916617046,0,,,
1993-11-28,1994,13,26,545807,290461,0.5321679641338422,0,,,
1993-11-29,1994,14,0,545807,199684,0.3658509326556823,0,0.0,0.04506576061248779,8.789593562929534e-07
1993-11-29,1994,14,23,545807,293245,0.5372686682288794,0,,,
1993-11-29,1994,14,24,545807,291049,0.5332452680159837,0,,,
1993-11-29,1994,14,25,545807,288819,0.5291595747214675,0,,,
1993-11-29,1994,14,26,545807,289762,0.5308872916617046,0,,,
1993-11-30,1994,15,0,545807,195499,0.35818338716799164,0,1.0,0.11145949363708496,9.436816632532435e-07
1993-11-30,1994,15,23,545807,290648,0.5325105760827545,0,,,
1993-11-30,1994,15,24,545807,293246,0.5372705003783389,0,,,
1993-11-30,1994,15,25,545807,291050,0.5332471001654431,0,,,
1993-11-30,1994,15,26,545807,288819,0.5291595747214675,0,,,
1993-12-01,1994,16,0,545807,175543,0.32162101255572023,0,3.0,0.14387309551239014,2.230360295344516e-06
1993-12-01,1994,16,23,545807,285305,0.5227214015210505,0,,,
1993-12-01,1994,16,24,545807,290649,0.5325124082322139,0,,,
1993-12-01,1994,16,25,545807,293245,0.5372686682288794,0,,,
1993-12-01,1994,16,26,545807,291051,0.5332489323149026,0,,,
1993-12-02,1994,17,0,545807,160999,0.2949742308178532,0,1.0,0.41321074962615967,2.44554137656059e-06
1993-12-02,1994,17,23,545807,277865,0.5090902095429337,0,,,
1993-12-02,1994,17,24,545807,285302,0.5227159050726722,0,,,
1993-12-02,1994,17,25,545807,290649,0.5325124082322139,0,,,
1993-12-02,1994,17,26,545807,293247,0.5372723325277983,0,,,
1993-12-03,1994,18,0,545807,161426,0.2957565586370274,0,1.0,0.10515748104080558,9.137241975764262e-07
1993-12-03,1994,18,23,545807,271680,0.4977583651363944,0,,,
1993-12-03,1994,18,24,545807,277864,0.5090883773934742,0,,,
1993-12-03,1994,18,25,545807,285307,0.5227250658199694,0,,,
1993-12-03,1994,18,26,545807,290649,0.5325124082322139,0,,,
1993-12-04,1994,19,0,545807,150835,0.27635226371226457,0,1.0,0.2857428193092346,3.370598619538078e-06
1993-12-04,1994,19,23,545807,267252,0.48964560733006357,0,,,
1993-12-04,1994,19,24,545807,271677,0.4977528686880161,0,,,
1993-12-04,1994,19,25,545807,277865,0.5090902095429337,0,,,
1993-12-04,1994,19,26,545807,285304,0.522719569371591,0,,,
1993-12-05,1994,20,0,545807,137678,0.252246673274619,0,3.0,0.2799348533153534,1.9002655188222177e-06
1993-12-05,1994,20,23,545807,259847,0.4760785405830266,0,,,
1993-12-05,1994,20,24,545807,267254,0.4896492716289824,0,,,
1993-12-05,1994,20,25,545807,271679,0.49775653298693495,0,,,
1993-12-05,1994,20,26,545807,277860,0.5090810487956365,0,,,
1993-12-06,1994,21,0,545807,130100,0.2383626446711017,0,1.0,0.05140051618218422,1.3336800124892098e-06
1993-12-06,1994,21,23,545807,251851,0.4614286735054699,0,,,
1993-12-06,1994,21,24,545807,259850,0.4760840370314049,0,,,
1993-12-06,1994,21,25,545807,267255,0.48965110377844184,0,,,
1993-12-06,1994,21,26,545807,271683,0.49776386158477265,0,,,
1993-12-07,1994,22,0,545807,126146,0.231118325708538,0,1.0,0.22145384550094604,1.8787301076768447e-06
1993-12-07,1994,22,23,545807,240685,0.4409708926415381,0,,,
1993-12-07,1994,22,24,545807,251857,0.46143966640222644,0,,,
1993-12-07,1994,22,25,545807,259847,0.4760785405830266,0,,,
1993-12-07,1994,22,26,545807,267253,0.489647439479523,0,,,
1993-12-08,1994,23,0,545807,126917,0.23253091294175413,0,3.0,0.11700309067964554,1.7305529156381216e-06
1993-12-08,1994,23,23,545807,230569,0.4224368687100019,0,,,
1993-12-08,1994,23,24,545807,240684,0.4409690604920787,0,,,
1993-12-08,1994,23,25,545807,251853,0.46143233780438875,0,,,
1993-12-08,1994,23,26,545807,259852,0.47608770133032374,0,,,
1993-12-09,1994,24,0,545807,128918,0.23619704401006217,0,1.0,0.2064933106303215,1.1936794416828167e-06
1993-12-09,1994,24,23,545807,229052,0.4196574979800552,0,,,
1993-12-09,1994,24,24,545807,230567,0.42243320441108306,0,,,
1993-12-09,1994,24,25,545807,240686,0.44097272479099753,0,,,
