release_date,spawning_year,release_month,n_particles,n_M6,n_M6_north_1979-2015,n_M6_north_2016-2025,n_M6_north_envelope
1993-11-15,1994,11,545807,226326,195214,202175,195175
1993-11-16,1994,11,545807,224460,194684,201698,194645
1993-11-17,1994,11,545807,224094,194423,201599,194382
1993-11-18,1994,11,545807,223210,194237,201428,194199
1993-11-19,1994,11,545807,222080,193868,200945,193839
1993-11-20,1994,11,545807,222210,193422,200811,193396
1993-11-21,1994,11,545807,223514,194168,201490,194135
1993-11-22,1994,11,545807,224660,194792,202250,194741
1993-11-23,1994,11,545807,225630,195351,202807,195301
1993-11-24,1994,11,545807,223844,195049,201714,194995
1993-11-25,1994,11,545807,220219,194866,200732,194809
1993-11-26,1994,11,545807,217235,194850,199851,194783
1993-11-27,1994,11,545807,215928,195266,199831,195203
1993-11-28,1994,11,545807,214909,194839,199125,194778
1993-11-29,1994,11,545807,212499,194686,198156,194615
1993-11-30,1994,11,545807,208626,194121,196709,194069
1993-12-01,1994,12,545807,205446,192557,194803,192531
1993-12-02,1994,12,545807,204458,192361,194641,192328
1993-12-03,1994,12,545807,203525,191609,194095,191569
1993-12-04,1994,12,545807,203198,191275,193731,191254
1993-12-05,1994,12,545807,202604,191032,193566,191007
1993-12-06,1994,12,545807,201623,191081,193762,191047
1993-12-07,1994,12,545807,201437,191932,194802,191894
1993-12-08,1994,12,545807,201089,192108,195108,192077
1993-12-09,1994,12,545807,201378,192426,195457,192387
1993-12-10,1994,12,545807,201574,192651,195808,192615
1993-12-11,1994,12,545807,202789,193603,196832,193567
1993-12-12,1994,12,545807,203726,194496,197834,194464
1993-12-13,1994,12,545807,204488,194965,198379,194918
1993-12-14,1994,12,545807,205082,195765,199035,195724
1993-12-15,1994,12,545807,205513,195974,199244,195931
1993-12-16,1994,12,545807,205588,196129,199285,196087
1993-12-17,1994,12,545807,205342,196038,199281,195984
1993-12-18,1994,12,545807,205259,195983,199066,195931
1993-12-19,1994,12,545807,204770,195434,198628,195381
1993-12-20,1994,12,545807,204763,195606,198719,195546
1993-12-21,1994,12,545807,204900,195762,198937,195713
1993-12-22,1994,12,545807,204964,195687,198935,195616
1993-12-23,1994,12,545807,204344,194997,198209,194951
1993-12-24,1994,12,545807,204024,194550,197827,194497
1993-12-25,1994,12,545807,203866,194341,197569,194279
1993-12-26,1994,12,545807,203631,194420,197383,194343
1993-12-27,1994,12,545807,203718,194415,197504,194340
1993-12-28,1994,12,545807,202497,194129,196788,194069
1993-12-29,1994,12,545807,199924,193293,195080,193232
1993-12-30,1994,12,545807,199620,193068,194863,193020
1993-12-31,1994,12,545807,199399,192994,194729,192931
1994-01-01,1994,1,545807,198656,192558,194097,192495
1994-01-02,1994,1,545807,197407,191375,192806,191305
1994-01-03,1994,1,545807,196004,190369,191718,190304
1994-01-04,1994,1,545807,193825,188540,189857,188506
